mean_reward,mean_ep_length,packet_lost,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-43203720.0,20002.0,30,102.50856137275696,False,,,1,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-34-31,1603334071,102.50856137275696,13884,aicon3,131.234.29.24,102.50856137275696,0,1,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-23986964.0,20002.0,3,98.83830952644348,False,,,2,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-36-10,1603334170,201.34687089920044,13884,aicon3,131.234.29.24,201.34687089920044,0,2,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-23984228.0,20002.0,0,97.97937560081482,False,,,3,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-37-48,1603334268,299.32624650001526,13884,aicon3,131.234.29.24,299.32624650001526,0,3,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-11998228.0,20002.0,0,97.6412787437439,False,,,4,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-39-25,1603334365,396.96752524375916,13884,aicon3,131.234.29.24,396.96752524375916,0,4,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-11971512.0,20002.0,0,98.97991180419922,False,,,5,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-41-04,1603334464,495.9474370479584,13884,aicon3,131.234.29.24,495.9474370479584,0,5,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-11982316.0,20002.0,12,98.53266739845276,False,,,6,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-42-43,1603334563,594.4801044464111,13884,aicon3,131.234.29.24,594.4801044464111,0,6,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-16768220.0,20002.0,0,99.11029005050659,False,,,7,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-44-22,1603334662,693.5903944969177,13884,aicon3,131.234.29.24,693.5903944969177,0,7,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-11975176.0,20002.0,0,99.08672976493835,False,,,8,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-46-01,1603334761,792.6771242618561,13884,aicon3,131.234.29.24,792.6771242618561,0,8,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-23996972.0,20002.0,27,99.48338103294373,False,,,9,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-47-41,1603334861,892.1605052947998,13884,aicon3,131.234.29.24,892.1605052947998,0,9,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
-47999440.0,20002.0,39,101.57123804092407,True,,,10,2d52dca900a841ffb0019c3c87797cf1,2020-10-22_04-49-22,1603334962,993.7317433357239,13884,aicon3,131.234.29.24,993.7317433357239,0,10,0025673b,"4_gamma=0.99114,learning_rate=0.0021169,max_grad_norm=5.4197"
